epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
1,1.843393818843059,1.8322204681543204,1676002.757051282,0.3371594551282051,0.3963,2.0525258970124608e-06,1.5894571940104167e-06,7.62939453125e-06,0.0,0.0009990133642141358,42.54544115066528,6.666666666666667e-09
2,1.6927556313001193,1.6711246744180337,1622321.7333333334,0.39885817307692306,0.4383,5.8643597057498876e-06,5.404154459635417e-06,1.1444091796875e-05,0.0,0.000996057350657239,43.00478386878967,1.3333333333333334e-08
3,1.6398914535840352,1.6086566546024421,1561740.0612179488,0.42181490384615383,0.4521,1.2608373367362257e-05,1.2715657552083334e-05,1.1444091796875e-05,0.0,0.0009911436253643444,43.02686166763306,2e-08
4,1.598325609549498,1.5683405542984987,1499252.7089743589,0.4372596153846154,0.4593,2.492352874943702e-05,2.574920654296875e-05,1.52587890625e-05,0.0,0.0009842915805643156,42.525776386260986,2e-08
5,1.5626826368845426,1.5338785458833744,1440204.5666666667,0.44733573717948716,0.4585,4.69148776459991e-05,4.8955281575520836e-05,2.288818359375e-05,0.0,0.0009755282581475769,41.59805393218994,2e-08
6,1.539282326820569,1.5116470067929,1381765.9544871794,0.4577724358974359,0.4728,9.207044738027323e-05,9.72747802734375e-05,3.0517578125e-05,0.0,0.0009648882429441258,42.329997301101685,2e-08
7,1.5150233192321583,1.4885217281488272,1325079.5580128205,0.4660456730769231,0.477,0.00015540553220237202,0.00016530354817708334,3.814697265625e-05,0.0,0.0009524135262330099,43.8913459777832,2e-08
8,1.495955388668256,1.4705580638005182,1269866.2846153846,0.47383814102564104,0.4931,0.0002612572248911575,0.0002791086832682292,4.9591064453125e-05,0.0,0.0009381533400219318,44.00158905982971,2e-08
9,1.4787402174411677,1.454401920697628,1216914.7881410257,0.4786458333333333,0.4911,0.0003967239340939799,0.00042438507080078125,6.866455078125e-05,0.0,0.0009221639627510075,43.40175652503967,2e-08
10,1.4621159620774098,1.4388074584496326,1165425.2461538462,0.48471554487179486,0.5125,0.000598457907971776,0.0006399154663085938,0.000102996826171875,0.000390625,0.0009045084971874736,42.17219090461731,2e-08
11,1.4491445785913712,1.4268194959713862,1116254.1541666666,0.48810096153846155,0.4993,0.000863526966671671,0.0009260177612304688,0.000118255615234375,0.000390625,0.0008852566213878945,42.53213024139404,2e-08
12,1.4341422038200573,1.4127528318992029,1069468.6943910257,0.4967948717948718,0.4987,0.0012321019741780514,0.001324017842610677,0.0001373291015625,0.000390625,0.0008644843137107056,40.763729095458984,2e-08
13,1.4187443143282181,1.3982369722464145,1025367.0915064103,0.499599358974359,0.5091,0.0016634256305359555,0.0017881393432617188,0.000179290771484375,0.000390625,0.0008422735529643443,42.0865375995636,2e-08
14,1.40377278144543,1.3841012300589146,983577.5133012821,0.506229967948718,0.5058,0.0022202465845969073,0.002387364705403646,0.000232696533203125,0.000390625,0.0008187119948743448,42.15636587142944,2e-08
15,1.3954540408574618,1.376558023538345,944801.0461538462,0.5089142628205128,0.5121,0.0029178121715958565,0.0031375885009765625,0.000301361083984375,0.00078125,0.0007938926261462366,39.85349130630493,2e-08
